Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Crash,R,2004,54.58,"['Crime', ' Drama', ' Thriller']",112,7.7,413783.0,10.0
Crash,R,2004,54.58,"['Crime', ' Drama', ' Thriller']",112,7.7,413783.0,7.303082
Creed,PG-13,2015,109.77,"['Drama', ' Sport']",133,7.6,240334.0,37.0
Dallas Buyers Club,R,2013,27.3,"['Biography', ' Drama']",117,8.0,427282.0,5.0
Dancer in the Dark,R,2000,4.18,"['Crime', ' Drama', ' Musical']",140,8.0,99453.0,12.5
Dances with Wolves,PG-13,1990,184.21,"['Adventure', ' Drama', ' Western']",181,8.0,233678.0,19.0
Dangerous Liaisons,R,1988,34.7,"['Drama', ' Romance']",119,7.6,62826.0,24.2
Dangerous Liaisons,R,1988,34.7,"['Drama', ' Romance']",119,7.6,62826.0,14.0
Dark City,R,1998,14.38,"['Mystery', ' Sci-Fi', ' Thriller']",100,7.6,184241.0,27.0
Das Boot,R,1981,11.49,"['Adventure', ' Drama', ' Thriller']",149,8.3,224575.0,12.0
Dawn of the Planet of the Apes,PG-13,2014,208.55,"['Action', ' Adventure', ' Drama']",130,7.6,405044.0,170.0
Days of Heaven,PG,1978,0.0,"['Drama', ' Romance']",94,7.8,0.0,3.0
Dazed and Confused,R,1993,7.99,['Comedy'],102,7.6,159847.0,6.9
Dead Poets Society,PG,1989,95.86,"['Comedy', ' Drama']",128,8.1,407220.0,16.4
Deadpool,R,2016,363.07,"['Action', ' Adventure', ' Comedy']",108,8.0,876521.0,58.0
Deadpool 2,R,2018,324.59,"['Action', ' Adventure', ' Comedy']",119,7.7,455622.0,110.0
Despicable Me,PG,2010,251.51,"['Animation', ' Comedy', ' Family']",95,7.6,488786.0,69.0
Die Hard,R,1988,83.01,"['Action', ' Thriller']",132,8.2,763673.0,28.0
District 9,R,2009,115.65,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,627913.0,30.0
Django Unchained,R,2012,162.81,"['Drama', ' Western']",165,8.4,1307901.0,100.0
