Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
Serpico,R,1973,29.8,"['Biography', ' Crime', ' Drama']",130,7.7,105476.0
Seven Pounds,PG-13,2008,69.95,['Drama'],123,7.6,281147.0
Shadow of a Doubt,PG,1943,0.0,['Thriller'],108,7.8,0.0
Shaun of the Dead,R,2004,13.54,"['Comedy', ' Horror']",99,7.9,499480.0
Sherlock Holmes,PG-13,2009,209.03,"['Action', ' Adventure', ' Mystery']",128,7.6,571621.0
Shine,PG-13,1996,35.81,"['Biography', ' Drama', ' Music']",105,7.7,50308.0
Short Cuts,R,1993,6.11,"['Comedy', ' Drama']",188,7.7,41358.0
Short Term 12,R,2013,1.01,['Drama'],96,8.0,78842.0
Shrek,PG,2001,267.67,"['Animation', ' Adventure', ' Comedy']",90,7.8,596783.0
Shutter Island,R,2010,128.01,"['Mystery', ' Thriller']",138,8.1,1087049.0
Sicario,R,2015,46.89,"['Action', ' Crime', ' Drama']",121,7.6,357222.0
Silver Linings Playbook,R,2012,132.09,"['Comedy', ' Drama', ' Romance']",122,7.7,648254.0
Sin City,R,2005,74.1,"['Crime', ' Thriller']",124,8.0,731566.0
Sing Street,PG-13,2016,3.24,"['Comedy', ' Drama', ' Music']",106,7.9,82016.0
Singin' in the Rain,G,1952,8.82,"['Comedy', ' Musical', ' Romance']",103,8.3,211478.0
Skyfall,PG-13,2012,304.36,"['Action', ' Adventure', ' Thriller']",143,7.7,617841.0
Sleepers,R,1996,49.1,"['Crime', ' Drama', ' Thriller']",147,7.6,182989.0
Sleuth,PG,1972,4.08,"['Mystery', ' Thriller']",138,8.0,43868.0
Sling Blade,R,1996,24.48,['Drama'],135,8.0,85375.0
Slumdog Millionaire,R,2008,141.32,"['Drama', ' Romance']",120,8.0,782942.0
Snatch,R,2000,30.33,"['Comedy', ' Crime']",102,8.3,762027.0
Snow White and the Seven Dwarfs,Approved,1937,184.93,"['Animation', ' Family', ' Fantasy']",83,7.6,176044.0
Solaris,PG,1972,0.0,"['Drama', ' Mystery', ' Sci-Fi']",167,8.1,0.0
Song of the Sea,PG,2014,0.86,"['Animation', ' Adventure', ' Drama']",93,8.1,48702.0
"South Park: Bigger, Longer & Uncut",R,1999,52.01,"['Animation', ' Comedy', ' Fantasy']",81,7.7,189201.0
Spartacus,PG-13,1960,30.0,"['Adventure', ' Biography', ' Drama']",197,7.9,121002.0
Spider-Man: Into the Spider-Verse,PG,2018,190.24,"['Animation', ' Action', ' Adventure']",117,8.4,327325.0
Spotlight,R,2015,45.06,"['Biography', ' Crime', ' Drama']",129,8.1,402260.0
Stand by Me,R,1986,52.29,"['Adventure', ' Drama']",89,8.1,352852.0
Star Trek,PG-13,2009,257.73,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,570229.0
Star Trek II: The Wrath of Khan,PG,1982,78.91,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,110132.0
Star Trek Into Darkness,PG-13,2013,228.78,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,457207.0
Star Wars: Episode IV - A New Hope,PG,1977,322.74,"['Action', ' Adventure', ' Fantasy']",121,8.6,1197706.0
Star Wars: Episode V - The Empire Strikes Back,PG,1980,290.48,"['Action', ' Adventure', ' Fantasy']",124,8.7,1125421.0
Star Wars: Episode VI - Return of the Jedi,PG,1983,309.13,"['Action', ' Adventure', ' Fantasy']",131,8.3,922712.0
Star Wars: Episode VII - The Force Awakens,PG-13,2015,936.66,"['Action', ' Adventure', ' Sci-Fi']",138,7.9,841550.0
Stardust,PG-13,2007,38.63,"['Adventure', ' Family', ' Fantasy']",127,7.6,248592.0
Straight Outta Compton,R,2015,161.2,"['Biography', ' Drama', ' History']",147,7.9,175089.0
Strangers on a Train,PG,1951,7.63,"['Crime', ' Film-Noir', ' Thriller']",101,8.0,120228.0
Superbad,R,2007,121.46,['Comedy'],113,7.6,508657.0
"Synecdoche, New York",R,2008,3.08,"['Comedy', ' Drama']",124,7.6,78708.0
Taare Zameen Par,PG,2007,1.22,"['Drama', ' Family']",165,8.4,159421.0
Tae Guk Gi: The Brotherhood of War,R,2004,1.11,"['Action', ' Drama', ' War']",140,8.1,37181.0
Taken,PG-13,2008,145.0,"['Action', ' Thriller']",90,7.8,556007.0
Tangled,PG,2010,200.82,"['Animation', ' Adventure', ' Comedy']",100,7.7,393520.0
Taxi Driver,R,1976,28.26,"['Crime', ' Drama']",114,8.3,697162.0
Castle in the Sky,PG,1986,0.0,"['Animation', ' Adventure', ' Drama']",125,8.0,0.0
Terminator 2: Judgment Day,R,1991,204.84,"['Action', ' Sci-Fi']",137,8.5,969011.0
Thank You for Smoking,R,2005,24.79,"['Comedy', ' Drama']",92,7.6,210714.0
