Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
Gladiator,R,2000,187.71,"['Action', ' Adventure', ' Drama']",155,8.5,1298602.0
Glengarry Glen Ross,R,1992,10.73,"['Crime', ' Drama', ' Mystery']",100,7.7,93253.0
Glory,R,1989,26.83,"['Biography', ' Drama', ' History']",122,7.8,118050.0
Goldfinger,PG,1964,51.08,"['Action', ' Adventure', ' Thriller']",110,7.7,167812.0
Gone Baby Gone,R,2007,20.3,"['Crime', ' Drama', ' Mystery']",114,7.6,244274.0
Gone Girl,R,2014,167.77,"['Drama', ' Mystery', ' Thriller']",149,8.1,826050.0
Gone with the Wind,Passed,1939,198.68,"['Drama', ' History', ' Romance']",238,8.1,281607.0
Good Bye Lenin!,R,2003,4.06,"['Comedy', ' Drama', ' Romance']",121,7.7,135056.0
Good Will Hunting,R,1997,138.43,"['Drama', ' Romance']",126,8.3,830730.0
Goodfellas,R,1990,46.84,"['Biography', ' Crime', ' Drama']",146,8.7,983443.0
Gran Torino,R,2008,148.1,['Drama'],116,8.1,703427.0
Gravity,PG-13,2013,274.09,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,751643.0
Green Book,PG-13,2018,85.08,"['Biography', ' Comedy', ' Drama']",130,8.2,333070.0
Groundhog Day,PG,1993,70.91,"['Comedy', ' Fantasy', ' Romance']",101,8.0,566463.0
Guardians of the Galaxy,PG-13,2014,333.18,"['Action', ' Adventure', ' Comedy']",121,8.0,1017887.0
Guardians of the Galaxy Vol. 2,PG-13,2017,389.81,"['Action', ' Adventure', ' Comedy']",136,7.6,544833.0
Talk to Her,R,2002,9.28,"['Drama', ' Mystery', ' Romance']",112,7.9,102226.0
Hachi: A Dog's Tale,G,2009,0.0,"['Drama', ' Family']",93,8.1,0.0
Hacksaw Ridge,R,2016,67.21,"['Biography', ' Drama', ' History']",139,8.1,413338.0
Halloween,R,1978,47.0,"['Horror', ' Thriller']",91,7.8,220872.0
Hamlet,PG-13,1996,4.41,['Drama'],242,7.7,35395.0
Fireworks,103 min,1997,0.23,"['Crime', ' Drama', ' Romance']",103,7.8,26747.0
Hannah and Her Sisters,PG-13,1986,40.08,"['Comedy', ' Drama']",107,7.9,65292.0
Harold and Maude,PG,1971,0.0,"['Comedy', ' Drama', ' Romance']",91,7.9,0.0
Harry Potter and the Deathly Hallows: Part 1,PG-13,2010,295.98,"['Adventure', ' Family', ' Fantasy']",146,7.7,459469.0
Harry Potter and the Deathly Hallows: Part 2,PG-13,2011,381.01,"['Adventure', ' Drama', ' Fantasy']",130,8.1,738118.0
Harry Potter and the Goblet of Fire,PG-13,2005,290.01,"['Adventure', ' Family', ' Fantasy']",157,7.7,526477.0
Harry Potter and the Half-Blood Prince,PG,2009,301.96,"['Action', ' Adventure', ' Family']",153,7.6,454227.0
Harry Potter and the Prisoner of Azkaban,PG,2004,249.36,"['Adventure', ' Family', ' Fantasy']",142,7.9,528890.0
Harry Potter and the Sorcerer's Stone,PG,2001,317.58,"['Adventure', ' Family', ' Fantasy']",152,7.6,619309.0
Howl's Moving Castle,PG,2004,4.71,"['Animation', ' Adventure', ' Family']",119,8.2,314440.0
Heat,R,1995,67.44,"['Crime', ' Drama', ' Thriller']",170,8.2,558086.0
Hedwig and the Angry Inch,R,2001,3.03,"['Comedy', ' Drama', ' Music']",95,7.7,31288.0
Hell or High Water,R,2016,26.86,"['Action', ' Crime', ' Drama']",102,7.6,196007.0
Her,R,2013,25.57,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,518765.0
Hidden Figures,PG,2016,169.61,"['Biography', ' Drama', ' History']",127,7.8,191366.0
High Noon,PG,1952,9.45,"['Drama', ' Thriller', ' Western']",85,7.9,95069.0
Home Alone,PG,1990,285.76,"['Comedy', ' Family']",103,7.6,448997.0
Hot Fuzz,R,2007,23.64,"['Action', ' Comedy', ' Mystery']",121,7.8,450606.0
Hotel Rwanda,PG-13,2004,23.53,"['Biography', ' Drama', ' History']",121,8.1,327631.0
How to Train Your Dragon,PG,2010,217.58,"['Animation', ' Action', ' Adventure']",98,8.1,647595.0
How to Train Your Dragon 2,PG,2014,177.0,"['Animation', ' Action', ' Adventure']",102,7.8,296685.0
Hunt for the Wilderpeople,PG-13,2016,5.2,"['Adventure', ' Comedy', ' Drama']",101,7.9,103069.0
Fearless,PG-13,2006,24.63,"['Action', ' Biography', ' Drama']",104,7.6,71813.0
In a Better World,R,2010,1.01,"['Drama', ' Romance']",118,7.6,37844.0
I Am Sam,PG-13,2001,40.31,['Drama'],132,7.7,140623.0
"I, Daniel Blake",R,2016,0.26,['Drama'],100,7.9,50906.0
"The Good, the Bad and the Ugly",R,1966,6.1,['Western'],178,8.8,667452.0
The Conformist,R,1970,0.54,['Drama'],113,8.0,25756.0
Il Postino,PG,1994,21.85,"['Biography', ' Comedy', ' Drama']",108,7.7,32605.0
In America,PG-13,2002,15.54,['Drama'],105,7.7,39949.0
In Bruges,R,2008,7.76,"['Comedy', ' Crime', ' Drama']",107,7.9,381573.0
In the Name of the Father,R,1993,25.01,"['Biography', ' Drama']",133,8.1,151452.0
Incendies,R,2010,6.86,"['Drama', ' Mystery', ' War']",131,8.3,140330.0
Inception,PG-13,2010,292.58,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,1983249.0
Incredibles 2,PG,2018,608.58,"['Animation', ' Action', ' Adventure']",118,7.6,236486.0
Indiana Jones and the Last Crusade,PG-13,1989,197.17,"['Action', ' Adventure']",127,8.2,672569.0
Indiana Jones and the Temple of Doom,PG,1984,179.87,"['Action', ' Adventure']",118,7.6,434762.0
Inglourious Basterds,R,2009,120.54,"['Adventure', ' Drama', ' War']",153,8.3,1220210.0
Inside Man,R,2006,88.51,"['Crime', ' Drama', ' Mystery']",129,7.6,329492.0
Inside Out,PG,2015,356.46,"['Animation', ' Adventure', ' Comedy']",95,8.1,587412.0
Interstate 60: Episodes of the Road,R,2002,0.0,"['Adventure', ' Comedy', ' Drama']",116,7.7,0.0
Interstellar,PG-13,2014,188.02,"['Adventure', ' Drama', ' Sci-Fi']",169,8.6,1432116.0
Into the Wild,R,2007,18.35,"['Adventure', ' Biography', ' Drama']",148,8.1,556856.0
The Intouchables,R,2011,13.18,"['Biography', ' Comedy', ' Drama']",112,8.5,731542.0
Iron Man,PG-13,2008,318.41,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,916044.0
Isle of Dogs,PG-13,2018,32.02,"['Animation', ' Adventure', ' Comedy']",101,7.9,130804.0
JFK,R,1991,70.41,"['Drama', ' History', ' Thriller']",189,8.0,137522.0
The Hunt,R,2012,0.69,['Drama'],115,8.3,266714.0
Jaws,PG,1975,260.0,"['Adventure', ' Thriller']",124,8.0,532315.0
Love Me If You Dare,R,2003,0.55,"['Comedy', ' Drama', ' Romance']",93,7.6,66093.0
A Separation,PG-13,2011,7.1,['Drama'],123,8.3,212464.0
Jojo Rabbit,PG-13,2019,0.35,"['Comedy', ' Drama', ' War']",108,7.9,235906.0
Joker,R,2019,335.45,"['Crime', ' Drama', ' Thriller']",122,8.5,824905.0
Joyeux Noel,PG-13,2005,1.05,"['Drama', ' History', ' Music']",116,7.7,27018.0
Jurassic Park,PG-13,1993,402.45,"['Action', ' Adventure', ' Sci-Fi']",127,8.1,837448.0
Kagemusha,PG,1980,0.0,"['Drama', ' History', ' War']",162,8.0,0.0
The Tale of The Princess Kaguya,PG,2013,1.51,"['Animation', ' Adventure', ' Drama']",137,8.0,35523.0
The Secret World of Arrietty,G,2010,19.2,"['Animation', ' Adventure', ' Family']",94,7.6,76492.0
Nausicaä of the Valley of the Wind,PG,1984,0.5,"['Animation', ' Adventure', ' Fantasy']",117,8.1,143005.0
The Wind Rises,PG-13,2013,5.21,"['Animation', ' Biography', ' Drama']",126,7.8,68990.0
Kick-Ass,R,2010,48.07,"['Action', ' Comedy', ' Crime']",117,7.6,515932.0
Kill Bill: Vol. 1,R,2003,70.1,"['Action', ' Crime', ' Thriller']",111,8.1,970951.0
Kill Bill: Vol. 2,R,2004,66.21,"['Action', ' Crime', ' Thriller']",137,8.0,663930.0
Your Name.,PG,2016,5.02,"['Animation', ' Drama', ' Fantasy']",106,8.4,173606.0
Kingsman: The Secret Service,R,2014,128.26,"['Action', ' Adventure', ' Comedy']",129,7.7,576191.0
Klaus,PG,2019,0.0,"['Animation', ' Adventure', ' Comedy']",96,8.2,0.0
Knives Out,PG-13,2019,165.36,"['Comedy', ' Crime', ' Drama']",130,7.9,344440.0
Kramer vs. Kramer,PG,1979,106.26,['Drama'],105,7.8,128250.0
Kubo and the Two Strings,PG,2016,48.02,"['Animation', ' Action', ' Adventure']",101,7.8,114181.0
Kung Fu Hustle,R,2004,17.11,"['Action', ' Comedy', ' Fantasy']",99,7.7,123935.0
Porco Rosso,PG,1992,0.0,"['Animation', ' Adventure', ' Comedy']",94,7.7,0.0
L.A. Confidential,R,1997,64.62,"['Crime', ' Drama', ' Mystery']",138,8.2,518638.0
La La Land,PG-13,2016,151.1,"['Comedy', ' Drama', ' Music']",128,8.0,483343.0
La Vie En Rose,PG-13,2007,10.3,"['Biography', ' Drama', ' Music']",140,7.6,81006.0
The Double Life of Véronique,R,1991,2.0,"['Drama', ' Fantasy', ' Music']",98,7.8,39982.0
La leggenda del pianista sull'oceano,R,1998,0.26,"['Drama', ' Music', ' Romance']",169,8.1,56943.0
The Best Offer,R,2013,0.09,"['Crime', ' Drama', ' Mystery']",131,7.8,104376.0
The Holy Mountain,R,1973,0.06,"['Adventure', ' Drama', ' Fantasy']",114,7.9,34989.0
The Skin I Live In,R,2011,3.19,"['Drama', ' Horror', ' Thriller']",120,7.6,133879.0
Blue Is the Warmest Colour,NC-17,2013,2.2,"['Drama', ' Romance']",180,7.7,134271.0
Life Is Beautiful,PG-13,1997,57.6,"['Comedy', ' Drama', ' Romance']",116,8.6,600895.0
Lagaan: Once Upon a Time in India,PG,2001,0.07,"['Adventure', ' Drama', ' Musical']",224,8.1,101499.0
Lage Raho Munna Bhai,PG-13,2006,2.22,"['Comedy', ' Drama', ' Romance']",144,8.1,41500.0
Hard Boiled,R,1992,0.0,"['Action', ' Crime', ' Thriller']",128,7.8,0.0
Lawrence of Arabia,Approved,1962,44.82,"['Adventure', ' Biography', ' Drama']",228,8.3,259509.0
Le Petit Prince,PG,2015,1.34,"['Animation', ' Adventure', ' Drama']",108,7.7,54558.0
The Discreet Charm of the Bourgeoisie,PG,1972,0.2,['Comedy'],102,7.9,36989.0
Le Dîner de Cons,PG-13,1998,4.07,['Comedy'],80,7.7,36406.0
Amélie,R,2001,33.23,"['Comedy', ' Romance']",122,8.3,687006.0
The Tenant,R,1976,1.92,"['Drama', ' Thriller']",126,7.7,37999.0
The Past,PG-13,2013,1.33,"['Drama', ' Mystery']",130,7.8,43840.0
The Diving Bell and the Butterfly,PG-13,2007,5.99,"['Biography', ' Drama']",112,8.0,101615.0
The Chorus,PG-13,2004,3.64,"['Drama', ' Music']",97,7.9,55868.0
The Triplets of Belleville,PG-13,2003,7.0,"['Animation', ' Comedy', ' Drama']",80,7.8,49755.0
Lethal Weapon,R,1987,65.21,"['Action', ' Crime', ' Thriller']",109,7.6,231096.0
Letters from Iwo Jima,R,2006,13.76,"['Action', ' Adventure', ' Drama']",141,7.9,151506.0
Leviathan,R,2014,1.09,"['Crime', ' Drama']",140,7.6,47538.0
Monty Python's Life of Brian,R,1979,20.05,['Comedy'],94,8.1,356820.0
Life of Pi,PG,2012,124.99,"['Adventure', ' Drama', ' Fantasy']",127,7.9,567289.0
Lilya 4-Ever,R,2002,0.18,"['Crime', ' Drama']",109,7.8,41565.0
Lion,PG-13,2016,51.74,"['Biography', ' Drama']",118,8.0,204471.0
Little Miss Sunshine,R,2006,59.89,"['Comedy', ' Drama']",101,7.8,429346.0
Little Women,PG,2019,108.1,"['Drama', ' Romance']",135,7.9,114431.0
"Lock, Stock and Two Smoking Barrels",R,1998,3.9,"['Action', ' Comedy', ' Crime']",107,8.2,521294.0
Logan,R,2017,226.28,"['Action', ' Drama', ' Sci-Fi']",137,8.1,621647.0
Run Lola Run,R,1998,7.27,"['Crime', ' Drama', ' Thriller']",80,7.6,185190.0
Lord of War,R,2005,24.15,"['Action', ' Crime', ' Drama']",122,7.6,288659.0
Lost Highway,R,1997,3.8,"['Mystery', ' Thriller']",134,7.6,126698.0
Lost in Translation,R,2003,44.59,"['Comedy', ' Drama']",102,7.7,399451.0
Love Actually,R,2003,59.7,"['Comedy', ' Drama', ' Romance']",135,7.6,413989.0
Love and Death,PG,1975,0.0,"['Comedy', ' War']",85,7.7,0.0
Loving Vincent,PG-13,2017,6.74,"['Animation', ' Biography', ' Crime']",94,7.8,47517.0
Lucky Number Slevin,R,2006,22.49,"['Crime', ' Drama', ' Mystery']",110,7.7,295960.0
Let the Right One In,R,2008,2.12,"['Crime', ' Drama', ' Fantasy']",114,7.9,201838.0
Léon: The Professional,R,1994,19.5,"['Action', ' Crime', ' Drama']",110,8.5,1000246.0
Mad Max 2: The Road Warrior,R,1981,12.47,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,162490.0
Mad Max: Fury Road,R,2015,154.06,"['Action', ' Adventure', ' Sci-Fi']",120,8.1,848679.0
Mother,R,2009,0.55,"['Crime', ' Drama', ' Thriller']",129,7.8,47894.0
Magnolia,R,1999,22.46,['Drama'],188,8.0,283085.0
Kiki's Delivery Service,G,1989,0.0,"['Animation', ' Adventure', ' Drama']",103,7.8,0.0
Malcolm X,PG-13,1992,48.17,"['Biography', ' Drama', ' History']",202,7.7,82626.0
Man on Fire,R,2004,77.91,"['Action', ' Crime', ' Drama']",146,7.7,322167.0
Shoplifters,R,2018,3.31,"['Crime', ' Drama']",121,8.0,54811.0
Manchester by the Sea,R,2016,47.7,['Drama'],137,7.8,236197.0
Manhattan,R,1979,45.7,"['Comedy', ' Drama', ' Romance']",96,7.9,128396.0
The Sea Inside,PG-13,2004,2.09,"['Biography', ' Drama']",126,8.0,75908.0
Marriage Story,R,2019,0.0,"['Comedy', ' Drama', ' Romance']",137,8.0,0.0
Mary Poppins,G,1964,102.27,"['Comedy', ' Family', ' Fantasy']",139,7.8,153350.0
Match Point,R,2005,23.09,"['Drama', ' Romance', ' Thriller']",124,7.6,201835.0
Me and Earl and the Dying Girl,PG-13,2015,6.74,"['Comedy', ' Drama']",105,7.7,119816.0
Memento,R,2000,25.54,"['Mystery', ' Thriller']",113,8.4,1090872.0
Midnight Cowboy,R,1969,44.79,['Drama'],113,7.8,97884.0
Midnight Express,R,1978,35.0,"['Biography', ' Crime', ' Drama']",121,7.6,71126.0
Midnight in Paris,PG-13,2011,56.82,"['Comedy', ' Fantasy', ' Romance']",94,7.7,376906.0
Miller's Crossing,R,1990,5.08,"['Crime', ' Drama', ' Thriller']",115,7.7,123185.0
Million Dollar Baby,PG-13,2004,100.49,"['Drama', ' Sport']",132,8.1,619353.0
Whisper of the Heart,G,1995,0.0,"['Animation', ' Drama', ' Family']",111,7.9,0.0
Minority Report,PG-13,2002,132.07,"['Action', ' Crime', ' Mystery']",145,7.6,495849.0
Misery,R,1990,61.28,"['Drama', ' Thriller']",107,7.8,177751.0
Mission: Impossible - Fallout,PG-13,2018,220.16,"['Action', ' Adventure', ' Thriller']",147,7.7,276873.0
Mississippi Burning,R,1988,34.6,"['Crime', ' Drama', ' History']",128,7.8,84675.0
Moana,PG,2016,248.76,"['Animation', ' Adventure', ' Comedy']",107,7.6,256590.0
Modern Times,G,1936,0.16,"['Comedy', ' Drama', ' Family']",87,8.5,209195.0
Mommy,R,2014,3.49,['Drama'],139,8.1,48111.0
Moneyball,PG-13,2011,75.61,"['Biography', ' Drama', ' Sport']",133,7.6,350903.0
Princess Mononoke,PG-13,1997,2.38,"['Animation', ' Adventure', ' Fantasy']",134,8.4,326881.0
"Monsters, Inc.",G,2001,289.92,"['Animation', ' Adventure', ' Comedy']",92,8.0,790202.0
Monty Python and the Holy Grail,PG,1975,1.23,"['Adventure', ' Comedy', ' Fantasy']",91,8.2,488740.0
Moon,R,2009,5.01,"['Drama', ' Mystery', ' Sci-Fi']",97,7.9,327799.0
Moonrise Kingdom,PG-13,2012,45.51,"['Comedy', ' Drama', ' Romance']",94,7.8,309510.0
Infernal Affairs,R,2002,0.17,"['Action', ' Crime', ' Drama']",101,8.0,115880.0
Mr. Nobody,R,2009,0.0,"['Drama', ' Fantasy', ' Romance']",141,7.8,210415.0
Mulan,G,1998,120.62,"['Animation', ' Adventure', ' Family']",88,7.6,242335.0
Mulholland Dr.,R,2001,7.22,"['Drama', ' Mystery', ' Thriller']",147,8.0,310081.0
Mustang,PG-13,2015,0.85,['Drama'],97,7.6,34220.0
My Cousin Vinny,R,1992,52.93,"['Comedy', ' Crime']",120,7.6,102954.0
My Fair Lady,G,1964,72.0,"['Drama', ' Family', ' Musical']",170,7.8,84260.0
My Left Foot,R,1989,14.74,"['Biography', ' Drama']",103,7.9,65676.0
My Name Is Khan,PG-13,2010,4.02,['Drama'],165,8.0,95903.0
Mystic River,R,2003,90.14,"['Crime', ' Drama', ' Mystery']",138,7.9,409180.0
The Girl with the Dragon Tattoo,R,2009,10.1,"['Crime', ' Drama', ' Mystery']",152,7.8,205319.0
National Lampoon's Christmas Vacation,PG-13,1989,71.32,['Comedy'],97,7.6,147851.0
Nebraska,R,2013,17.65,"['Adventure', ' Comedy', ' Drama']",115,7.7,110070.0
Loveless,R,2017,0.57,['Drama'],127,7.6,27966.0
Network,R,1976,0.0,['Drama'],121,8.1,0.0
Night on Earth,R,1991,2.02,"['Comedy', ' Drama']",129,7.8,53639.0
Nightcrawler,R,2014,32.38,"['Crime', ' Drama', ' Thriller']",117,7.9,444016.0
No Country for Old Men,R,2007,74.28,"['Crime', ' Drama', ' Thriller']",122,8.1,823752.0
No Man's Land,R,2001,1.06,"['Comedy', ' Drama', ' War']",98,7.9,43777.0
Nine Queens,R,2000,1.22,"['Crime', ' Drama', ' Thriller']",114,7.9,48470.0
Cinema Paradiso,R,1988,11.99,['Drama'],155,8.5,220537.0
"O Brother, Where Art Thou?",PG-13,2000,45.51,"['Adventure', ' Comedy', ' Crime']",107,7.7,277406.0
Ocean's Eleven,PG-13,2001,183.42,"['Crime', ' Thriller']",116,7.7,501199.0
October Sky,PG,1999,32.48,"['Biography', ' Drama', ' Family']",108,7.8,79592.0
Office Space,R,1999,10.82,['Comedy'],89,7.7,236507.0
Departures,PG-13,2008,1.5,"['Drama', ' Music']",130,8.1,47377.0
Oldboy,R,2003,0.71,"['Action', ' Drama', ' Mystery']",120,8.4,497001.0
When Marnie Was There,PG,2014,0.77,"['Animation', ' Drama', ' Family']",103,7.7,29758.0
On Golden Pond,PG,1981,119.29,['Drama'],109,7.6,26813.0
Once,R,2007,9.44,"['Drama', ' Music', ' Romance']",86,7.8,108673.0
Once Upon a Time in America,R,1984,5.32,"['Crime', ' Drama']",229,8.4,299670.0
Once Upon a Time... in Hollywood,R,2019,142.5,"['Comedy', ' Drama']",161,7.7,489735.0
Once Were Warriors,R,1994,2.2,"['Crime', ' Drama']",102,7.9,30754.0
One Flew Over the Cuckoo's Nest,R,1975,112.0,['Drama'],133,8.7,885271.0
Only the Brave,PG-13,2017,18.34,"['Action', ' Biography', ' Drama']",134,7.6,54104.0
Ookami kodomo no Ame to Yuki,PG,2012,0.0,"['Animation', ' Drama', ' Family']",117,8.1,0.0
Ordinary People,R,1980,54.8,['Drama'],124,7.7,45283.0
Paddington 2,PG,2017,40.44,"['Adventure', ' Comedy', ' Family']",103,7.8,57200.0
Paper Moon,PG,1973,30.93,"['Comedy', ' Drama']",102,8.1,40906.0
Papillon,R,1973,53.27,"['Biography', ' Crime', ' Drama']",151,8.0,118611.0
Paprika,R,2006,0.88,"['Animation', ' Drama', ' Fantasy']",90,7.7,67546.0
"Paris, Texas",R,1984,2.18,['Drama'],145,8.1,84976.0
Patton,GP,1970,61.7,"['Biography', ' Drama', ' War']",172,7.9,91965.0
For a Few Dollars More,R,1965,15.0,['Western'],132,8.3,223766.0
A Fistful of Dollars,R,1964,14.5,"['Action', ' Drama', ' Western']",99,8.0,190606.0
Persepolis,PG-13,2007,4.45,"['Animation', ' Biography', ' Drama']",96,8.0,86522.0
Philadelphia,PG-13,1993,77.32,['Drama'],125,7.7,218309.0
Philomena,PG-13,2013,37.71,"['Biography', ' Comedy', ' Drama']",98,7.6,92376.0
Pink Floyd: The Wall,R,1982,22.24,"['Animation', ' Drama', ' Fantasy']",95,8.1,74208.0
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003,305.41,"['Action', ' Adventure', ' Fantasy']",143,8.0,997630.0
"Planes, Trains & Automobiles",R,1987,49.53,"['Comedy', ' Drama']",93,7.6,118410.0
Planet of the Apes,G,1968,33.4,"['Adventure', ' Sci-Fi']",112,8.0,162123.0
Platoon,R,1986,138.53,"['Drama', ' War']",120,8.1,371126.0
Portrait of a Lady on Fire,R,2019,0.0,"['Drama', ' Romance']",122,8.1,0.0
Predator,R,1987,59.74,"['Action', ' Adventure', ' Sci-Fi']",107,7.8,362629.0
Pride,R,2014,0.0,"['Biography', ' Comedy', ' Drama']",119,7.8,0.0
Pride & Prejudice,PG,2005,38.41,"['Drama', ' Romance']",129,7.8,244875.0
Primal Fear,R,1996,56.12,"['Crime', ' Drama', ' Mystery']",129,7.7,179114.0
Prisoners,R,2013,61.0,"['Crime', ' Drama', ' Mystery']",153,8.1,575515.0
Psycho,R,1960,32.0,"['Horror', ' Mystery', ' Thriller']",109,8.5,581427.0
Pulp Fiction,R,1994,107.93,"['Crime', ' Drama']",154,8.9,1768472.0
Perfect Blue,R,1997,0.78,"['Animation', ' Horror', ' Mystery']",81,8.0,52695.0
Raging Bull,R,1980,23.38,"['Biography', ' Drama', ' Sport']",129,8.2,311421.0
Raiders of the Lost Ark,PG,1981,248.16,"['Action', ' Adventure']",115,8.4,859997.0
Rain Man,R,1988,178.8,['Drama'],133,8.0,462532.0
Ran,R,1985,4.14,"['Action', ' Drama', ' War']",162,8.2,107576.0
Ratatouille,G,2007,206.45,"['Animation', ' Adventure', ' Comedy']",111,8.0,620710.0
Ray,PG-13,2004,75.33,"['Biography', ' Drama', ' Music']",152,7.7,135370.0
Rear Window,PG,1954,36.76,"['Mystery', ' Thriller']",112,8.4,428951.0
Rebel Without a Cause,PG-13,1955,0.0,['Drama'],111,7.7,0.0
Wild Tales,R,2014,3.11,"['Comedy', ' Drama', ' Thriller']",122,8.1,168283.0
Remember the Titans,PG,2000,115.65,"['Biography', ' Drama', ' Sport']",113,7.8,193143.0
Requiem for a Dream,R,2000,3.64,['Drama'],102,8.3,743611.0
Reservoir Dogs,R,1992,2.83,"['Crime', ' Drama', ' Thriller']",99,8.3,890484.0
Rise of the Planet of the Apes,PG-13,2011,176.76,"['Action', ' Drama', ' Sci-Fi']",105,7.6,488873.0
Road to Perdition,R,2002,104.45,"['Crime', ' Drama', ' Thriller']",117,7.7,241281.0
Robin Hood,G,1973,32.06,"['Animation', ' Adventure', ' Comedy']",83,7.6,111963.0
Rocky,PG,1976,117.24,"['Drama', ' Sport']",120,8.1,503035.0
Rogue One: A Star Wars Story,PG-13,2016,532.18,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,534784.0
Roma,R,2018,0.0,['Drama'],135,7.7,0.0
Room,R,2015,14.68,"['Drama', ' Thriller']",118,8.1,353061.0
Rope,Approved,1948,0.0,"['Crime', ' Drama', ' Mystery']",80,8.0,0.0
Rosemary's Baby,R,1968,0.0,"['Drama', ' Horror']",137,8.0,0.0
Lupin the 3rd: Castle of Cagliostro,PG-13,1979,0.0,"['Animation', ' Adventure', ' Family']",102,7.7,0.0
Rush,R,2013,26.95,"['Biography', ' Drama', ' Sport']",123,8.1,419726.0
Rushmore,R,1998,17.11,"['Comedy', ' Drama']",93,7.7,164878.0
Saving Private Ryan,R,1998,216.54,"['Drama', ' War']",169,8.6,1194993.0
Saw,R,2004,56.0,"['Horror', ' Mystery']",103,7.6,369992.0
Scarface,R,1983,45.6,"['Crime', ' Drama']",170,8.3,715597.0
Scent of a Woman,R,1992,63.9,['Drama'],156,8.0,250233.0
Schindler's List,R,1993,96.9,"['Biography', ' Drama', ' History']",195,8.9,1174211.0
Se7en,R,1995,100.13,"['Crime', ' Drama', ' Mystery']",127,8.6,1391156.0
Searching,PG-13,2018,26.02,"['Drama', ' Mystery', ' Thriller']",102,7.6,127671.0
Secrets & Lies,R,1996,13.42,"['Comedy', ' Drama']",136,8.0,35956.0
Spirited Away,PG,2001,10.06,"['Animation', ' Adventure', ' Family']",125,8.6,619209.0
Sense and Sensibility,PG,1995,43.18,"['Drama', ' Romance']",136,7.6,98692.0
The Raid: Redemption,R,2011,4.11,"['Action', ' Thriller']",101,7.6,186112.0
The Raid 2,R,2014,2.63,"['Action', ' Crime', ' Thriller']",150,8.0,111337.0
Serenity,PG-13,2005,25.51,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,278820.0
