Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
A Walk on the Moon,R,1999,4.74,"Drama,Romance",107,6.6,7809.0,14.0,-66.14285714285714
A Walk to Remember,PG,2002,41.23,"Drama,Romance",101,7.4,195707.0,11.0,274.8181818181818
A Wrinkle in Time,PG,2018,100.48,"Adventure,Family,Fantasy",109,4.2,39527.0,103.0,-2.4466019417475686
ATL,PG-13,2006,21.16,"Comedy,Crime,Drama",105,6.1,10551.0,17.0,24.47058823529412
Abandon,PG-13,2002,10.73,"Drama,Mystery,Romance",99,4.9,9100.0,25.0,-57.08
Abduction,PG-13,2011,28.09,"Action,Mystery,Thriller",106,5.1,75153.0,35.0,-19.742857142857144
About Last Night,R,2014,48.64,"Comedy,Romance",100,6.1,22184.0,13.0,274.15384615384613
About Schmidt,R,2002,65.02,"Comedy,Drama",125,7.1,120797.0,30.0,116.7333333333333
About a Boy,PG-13,2002,41.39,"Comedy,Drama,Romance",101,7.0,168318.0,27.0,53.2962962962963
Abraham Lincoln: Vampire Hunter,R,2012,37.52,"Action,Fantasy,Horror",105,5.9,147090.0,67.5,-44.41481481481481
Absentia,R,2011,22.810000000000002,"Drama,Horror,Mystery",87,5.8,48903.0,0.07,-100.0
Absolute Power,R,1997,50.01,"Action,Crime,Drama",121,6.7,49052.0,50.0,0.01999999999999602
Accidental Love,PG-13,2015,22.810000000000002,"Comedy,Romance",100,4.1,48903.0,26.0,-100.0
Ace Ventura: Pet Detective,PG-13,1994,72.22,Comedy,86,6.9,270902.0,12.0,501.83333333333337
Ace Ventura: When Nature Calls,PG-13,1995,108.39,"Adventure,Comedy,Crime",90,6.4,198099.0,30.0,261.3
Across the Universe,PG-13,2007,24.34,"Drama,Fantasy,History",133,7.3,104710.0,45.0,-45.91111111111111
Act of Valor,R,2012,70.01,"Action,Adventure,Thriller",110,6.5,65582.0,12.0,483.41666666666674
Action Point,R,2018,5.06,Comedy,85,5.1,9218.0,19.0,-73.36842105263159
Ad Astra,PG-13,2019,35.4,"Adventure,Drama,Mystery",123,6.6,176991.0,49.8,-28.915662650602407
Adam,PG-13,2009,2.28,"Comedy,Drama,Romance",99,7.2,33192.0,3.2,-28.750000000000007
Adam Resurrected,R,2008,22.810000000000002,"Drama,War",106,6.3,48903.0,10.0,-100.0
Addicted,R,2014,17.38,"Drama,Thriller",106,5.2,8682.0,5.0,247.6
Admission,PG-13,2013,18.0,"Comedy,Drama,Romance",107,5.7,32919.0,13.0,38.46153846153847
Adrift,PG-13,2018,31.45,"Action,Adventure,Biography",96,6.6,42904.0,35.0,-10.142857142857146
Adventureland,R,2009,16.03,"Comedy,Drama,Romance",107,6.8,150414.0,9.8,63.57142857142857
After,R,2014,22.810000000000002,"Drama,Mystery",99,5.1,48903.0,0.65,-100.0
After,PG-13,2012,22.810000000000002,"Drama,Fantasy,Mystery",90,5.5,48903.0,0.65,-100.0
After,PG-13,2019,12.14,"Drama,Romance",105,5.4,28954.0,0.65,1767.6923076923078
After Earth,PG-13,2013,60.52,"Action,Adventure,Sci-Fi",100,4.8,188560.0,130.0,-53.44615384615384
After the Sunset,PG-13,2004,28.33,"Action,Comedy,Crime",97,6.3,43911.0,57.0,-50.29824561403509
After.Life,R,2009,0.11,"Drama,Mystery,Thriller",104,5.9,35726.0,4.5,-97.55555555555556
Against the Ropes,PG-13,2004,5.88,"Biography,Drama,Romance",111,5.3,6694.0,39.0,-84.9230769230769
Agent Cody Banks,PG,2003,47.81,"Action,Adventure,Comedy",102,5.0,32319.0,25.0,91.24000000000001
Agent Cody Banks 2: Destination London,PG,2004,23.22,"Action,Adventure,Comedy",100,4.6,13778.0,26.0,-10.692307692307697
Ain't Them Bodies Saints,R,2013,0.39,"Crime,Drama,Romance",96,6.4,20156.0,5.0,-92.2
Air Bud,PG,1997,24.63,"Comedy,Drama,Family",98,5.2,16167.0,3.0,721.0
Air Force One,R,1997,172.96,"Action,Drama,Thriller",124,6.5,175893.0,85.0,103.48235294117647
Airborne,PG,1993,2.85,"Adventure,Comedy,Sport",91,6.3,6201.0,1.2,137.50000000000003
Akeelah and the Bee,PG,2006,18.81,"Drama,Family",112,7.3,18097.0,8.0,135.12499999999997
Aladdin,G,1992,217.35,"Animation,Adventure,Comedy",90,8.0,361677.0,182.0,19.42307692307692
Aladdin,G,1992,217.35,"Animation,Adventure,Comedy",90,8.0,361677.0,28.0,676.25
Aladdin,G,1992,22.810000000000002,"Animation,Adventure,Comedy",49,6.0,48903.0,182.0,-100.0
Aladdin,G,1992,22.810000000000002,"Animation,Adventure,Comedy",49,6.0,48903.0,28.0,-100.0
Aladdin,PG,2019,355.56,"Adventure,Family,Fantasy",128,7.0,211355.0,182.0,95.36263736263736
Aladdin,PG,2019,355.56,"Adventure,Family,Fantasy",128,7.0,211355.0,28.0,1169.857142857143
Albert Nobbs,R,2011,3.01,"Drama,Romance",113,6.7,23031.0,7.5,-59.86666666666667
Albino Alligator,R,1996,0.33,"Crime,Drama,Thriller",94,6.1,7474.0,5.0,-93.39999999999999
Alex & Emma,PG-13,2003,14.21,"Comedy,Romance",96,5.6,12832.0,30.0,-52.63333333333333
Alex Cross,PG-13,2012,25.89,"Action,Crime,Mystery",101,5.1,31824.0,35.0,-26.02857142857143
Alexander,R,2004,34.3,"Action,Biography,Drama",175,5.6,159923.0,155.0,-77.87096774193549
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,2014,66.95,"Comedy,Family",81,6.2,39675.0,28.0,139.10714285714286
Alfie,R,2004,13.4,"Comedy,Drama,Romance",103,6.2,49933.0,40.0,-66.5
Ali,R,2001,58.2,"Biography,Drama,Sport",157,6.8,91843.0,109.0,-46.60550458715596
Alice Through the Looking Glass,PG,2016,77.04,"Adventure,Family,Fantasy",113,6.2,88685.0,170.0,-54.68235294117647
Alice in Wonderland,PG,1999,22.810000000000002,"Adventure,Comedy,Family",150,6.3,48903.0,200.0,-100.0
Alice in Wonderland,PG,1999,22.810000000000002,"Adventure,Comedy,Family",150,6.3,48903.0,3.0,-100.0
Alice in Wonderland,PG,2010,334.19,"Adventure,Family,Fantasy",108,6.4,375159.0,200.0,67.095
Alice in Wonderland,PG,2010,334.19,"Adventure,Family,Fantasy",108,6.4,375159.0,3.0,11039.666666666666
Alien: Covenant,R,2017,74.26,"Horror,Sci-Fi,Thriller",122,6.4,246291.0,97.0,-23.44329896907216
Alien: Resurrection,R,1997,47.75,"Action,Horror,Sci-Fi",109,6.2,223225.0,60.0,-20.416666666666668
Aliens in the Attic,PG,2009,25.2,"Adventure,Comedy,Family",86,5.4,20337.0,45.0,-44.0
Alien 3,R,1992,55.47,"Action,Horror,Sci-Fi",114,6.5,270221.0,55.0,0.8545454545454525
Alita: Battle Angel,PG-13,2019,85.71,"Action,Adventure,Sci-Fi",122,7.3,213512.0,170.0,-49.582352941176474
Alive,R,1993,36.73,"Adventure,Biography,Drama",120,7.1,49486.0,32.0,14.78124999999999
All About Steve,PG-13,2009,33.86,"Comedy,Romance",99,4.8,39093.0,15.0,125.73333333333332
All About the Benjamins,R,2002,25.48,"Action,Comedy,Crime",95,5.9,12397.0,14.0,82.0
All Eyez on Me,R,2017,44.92,"Biography,Drama,Music",139,5.8,20489.0,45.0,-0.17777777777777398
All Good Things,R,2010,0.58,"Crime,Drama,Mystery",101,6.3,51736.0,20.0,-97.10000000000001
All Saints,PG,2017,5.8,Drama,108,6.1,1467.0,2.0,190.0
All or Nothing,R,2001,22.810000000000002,"Drama,Musical",88,6.0,48903.0,9.0,-100.0
All the Boys Love Mandy Lane,R,2006,22.810000000000002,Horror,90,5.5,48903.0,0.75,-100.0
All the King's Men,PG-13,2006,7.22,"Drama,Thriller",128,6.2,23312.0,55.0,-86.87272727272727
All the Pretty Horses,PG-13,2000,15.53,"Drama,Romance,Western",116,5.8,12742.0,45.0,-65.48888888888888
All the Queen's Men,PG-13,2001,0.02,"Action,Comedy,Drama",99,4.8,2436.0,15.0,-99.86666666666667
All the Real Girls,R,2003,0.55,"Drama,Romance",108,6.8,10162.0,1.0,-44.99999999999999
Allied,R,2016,40.1,"Action,Drama,Romance",124,7.1,136808.0,106.0,-62.16981132075472
Almost Christmas,PG-13,2016,41.72,"Comedy,Drama",111,6.1,5700.0,17.0,145.41176470588235
Almost Famous,R,2000,32.53,"Adventure,Comedy,Drama",122,7.9,246083.0,60.0,-45.78333333333333
Aloha,PG-13,2015,20.99,"Comedy,Drama,Romance",105,5.4,60315.0,37.0,-43.270270270270274
Along Came Polly,PG-13,2004,88.1,"Comedy,Romance",90,6.0,123823.0,42.0,109.76190476190474
Along Came a Spider,R,2001,74.08,"Drama,Thriller",104,6.4,74169.0,28.0,164.57142857142856
Alpha,PG-13,2018,35.85,"Action,Adventure,Drama",96,6.7,51316.0,51.0,-29.705882352941178
Alvin and the Chipmunks,PG,2007,217.33,"Animation,Comedy,Family",92,5.2,74446.0,55.0,295.1454545454545
Alvin and the Chipmunks: Chipwrecked,G,2011,133.11,"Animation,Adventure,Comedy",87,4.3,30399.0,80.0,66.38750000000002
Alvin and the Chipmunks: The Road Chip,PG,2015,85.89,"Animation,Adventure,Comedy",92,5.0,16108.0,90.0,-4.566666666666666
Alvin and the Chipmunks: The Squeakquel,PG,2009,219.61,"Animation,Comedy,Family",88,4.5,42330.0,70.0,213.72857142857146
Amelia,PG,2009,14.24,"Adventure,Biography,Drama",111,5.8,11801.0,40.0,-64.39999999999999
America's Sweethearts,PG-13,2001,93.61,"Comedy,Romance",102,5.7,53843.0,46.0,103.49999999999999
American Assassin,R,2017,36.25,"Action,Thriller",112,6.2,67042.0,63.0,-42.46031746031746
American Beauty,R,1999,130.1,Drama,122,8.3,1044050.0,15.0,767.3333333333333
American Dreamz,PG-13,2006,7.19,"Comedy,Music",107,5.4,24054.0,17.0,-57.705882352941174
American Gangster,R,2007,130.16,"Biography,Crime,Drama",157,7.8,382177.0,100.0,30.159999999999997
American History X,R,1998,6.72,Drama,119,8.5,1008424.0,10.0,-32.800000000000004
American Honey,R,2016,0.66,"Drama,Romance",163,7.0,36245.0,3.5,-81.14285714285714
American Hustle,R,2013,150.12,"Crime,Drama",138,7.2,438524.0,40.0,275.3
American Made,R,2017,51.34,"Action,Biography,Comedy",115,7.2,151966.0,50.0,2.680000000000007
American Outlaws,PG-13,2001,13.26,"Action,Western",94,6.0,13685.0,35.0,-62.11428571428572
American Pie,R,1999,102.56,Comedy,95,7.0,368454.0,12.0,754.6666666666667
American Pie 2,R,2001,145.1,Comedy,108,6.4,235369.0,30.0,383.66666666666663
American Psycho,R,2000,15.07,"Comedy,Crime,Drama",101,7.6,468678.0,8.0,88.375
American Reunion,R,2012,57.01,Comedy,113,6.7,199327.0,50.0,14.019999999999996
American Sniper,R,2014,350.13,"Action,Biography,Drama",133,7.3,426882.0,58.0,503.67241379310343
American Splendor,R,2003,6.0,"Biography,Comedy,Drama",101,7.4,46881.0,2.0,200.0
American Teen,PG-13,2008,0.94,Documentary,95,6.4,4058.0,5.0,-81.2
